d_nm,f_GHz,dR,P_ext_W_per_m2,P_drive_drude_W_per_m2,P_drive_diel_W_per_m2,P_drive_VO2_W_per_m2,P_net_W_per_m2
10,1.000000e-01,1.000000e-01,4.333753e+03,1.622839e+15,1.427524e+14,1.953000e+09,-1.952996e+09
10,1.000000e-01,5.000000e-01,2.166876e+04,1.622839e+15,1.427524e+14,1.953000e+09,-1.952978e+09
10,1.000000e-01,1.000000e+00,4.333753e+04,1.622839e+15,1.427524e+14,1.953000e+09,-1.952957e+09
10,1.000000e+00,1.000000e-01,4.333753e+04,1.622839e+16,1.427524e+15,1.953000e+10,-1.952996e+10
10,1.000000e+00,5.000000e-01,2.166876e+05,1.622839e+16,1.427524e+15,1.953000e+10,-1.952978e+10
10,1.000000e+00,1.000000e+00,4.333753e+05,1.622839e+16,1.427524e+15,1.953000e+10,-1.952957e+10
10,1.000000e+01,1.000000e-01,4.333753e+05,1.622839e+17,1.427524e+16,1.953000e+11,-1.952996e+11
10,1.000000e+01,5.000000e-01,2.166876e+06,1.622839e+17,1.427524e+16,1.953000e+11,-1.952978e+11
10,1.000000e+01,1.000000e+00,4.333753e+06,1.622839e+17,1.427524e+16,1.953000e+11,-1.952957e+11
30,1.000000e-01,1.000000e-01,1.605094e+02,2.003505e+13,1.762375e+12,1.953000e+09,-1.953000e+09
30,1.000000e-01,5.000000e-01,8.025468e+02,2.003505e+13,1.762375e+12,1.953000e+09,-1.952999e+09
30,1.000000e-01,1.000000e+00,1.605094e+03,2.003505e+13,1.762375e+12,1.953000e+09,-1.952998e+09
30,1.000000e+00,1.000000e-01,1.605094e+03,2.003505e+14,1.762375e+13,1.953000e+10,-1.953000e+10
30,1.000000e+00,5.000000e-01,8.025468e+03,2.003505e+14,1.762375e+13,1.953000e+10,-1.952999e+10
30,1.000000e+00,1.000000e+00,1.605094e+04,2.003505e+14,1.762375e+13,1.953000e+10,-1.952998e+10
30,1.000000e+01,1.000000e-01,1.605094e+04,2.003505e+15,1.762375e+14,1.953000e+11,-1.953000e+11
30,1.000000e+01,5.000000e-01,8.025468e+04,2.003505e+15,1.762375e+14,1.953000e+11,-1.952999e+11
30,1.000000e+01,1.000000e+00,1.605094e+05,2.003505e+15,1.762375e+14,1.953000e+11,-1.952998e+11
100,1.000000e-01,1.000000e-01,4.333753e+00,1.622839e+11,1.427524e+10,1.953000e+09,-1.953000e+09
100,1.000000e-01,5.000000e-01,2.166876e+01,1.622839e+11,1.427524e+10,1.953000e+09,-1.953000e+09
100,1.000000e-01,1.000000e+00,4.333753e+01,1.622839e+11,1.427524e+10,1.953000e+09,-1.953000e+09
100,1.000000e+00,1.000000e-01,4.333753e+01,1.622839e+12,1.427524e+11,1.953000e+10,-1.953000e+10
100,1.000000e+00,5.000000e-01,2.166876e+02,1.622839e+12,1.427524e+11,1.953000e+10,-1.953000e+10
100,1.000000e+00,1.000000e+00,4.333753e+02,1.622839e+12,1.427524e+11,1.953000e+10,-1.953000e+10
100,1.000000e+01,1.000000e-01,4.333753e+02,1.622839e+13,1.427524e+12,1.953000e+11,-1.953000e+11
100,1.000000e+01,5.000000e-01,2.166876e+03,1.622839e+13,1.427524e+12,1.953000e+11,-1.953000e+11
100,1.000000e+01,1.000000e+00,4.333753e+03,1.622839e+13,1.427524e+12,1.953000e+11,-1.953000e+11
300,1.000000e-01,1.000000e-01,1.605094e-01,2.003505e+09,1.762375e+08,1.953000e+09,-1.762375e+08
300,1.000000e-01,5.000000e-01,8.025468e-01,2.003505e+09,1.762375e+08,1.953000e+09,-1.762375e+08
300,1.000000e-01,1.000000e+00,1.605094e+00,2.003505e+09,1.762375e+08,1.953000e+09,-1.762375e+08
300,1.000000e+00,1.000000e-01,1.605094e+00,2.003505e+10,1.762375e+09,1.953000e+10,-1.762375e+09
300,1.000000e+00,5.000000e-01,8.025468e+00,2.003505e+10,1.762375e+09,1.953000e+10,-1.762375e+09
300,1.000000e+00,1.000000e+00,1.605094e+01,2.003505e+10,1.762375e+09,1.953000e+10,-1.762375e+09
300,1.000000e+01,1.000000e-01,1.605094e+01,2.003505e+11,1.762375e+10,1.953000e+11,-1.762375e+10
300,1.000000e+01,5.000000e-01,8.025468e+01,2.003505e+11,1.762375e+10,1.953000e+11,-1.762375e+10
300,1.000000e+01,1.000000e+00,1.605094e+02,2.003505e+11,1.762375e+10,1.953000e+11,-1.762375e+10
1000,1.000000e-01,1.000000e-01,4.333753e-03,1.622839e+07,1.427524e+06,1.953000e+09,-1.427524e+06
1000,1.000000e-01,5.000000e-01,2.166876e-02,1.622839e+07,1.427524e+06,1.953000e+09,-1.427524e+06
1000,1.000000e-01,1.000000e+00,4.333753e-02,1.622839e+07,1.427524e+06,1.953000e+09,-1.427524e+06
1000,1.000000e+00,1.000000e-01,4.333753e-02,1.622839e+08,1.427524e+07,1.953000e+10,-1.427524e+07
1000,1.000000e+00,5.000000e-01,2.166876e-01,1.622839e+08,1.427524e+07,1.953000e+10,-1.427524e+07
1000,1.000000e+00,1.000000e+00,4.333753e-01,1.622839e+08,1.427524e+07,1.953000e+10,-1.427524e+07
1000,1.000000e+01,1.000000e-01,4.333753e-01,1.622839e+09,1.427524e+08,1.953000e+11,-1.427524e+08
1000,1.000000e+01,5.000000e-01,2.166876e+00,1.622839e+09,1.427524e+08,1.953000e+11,-1.427524e+08
1000,1.000000e+01,1.000000e+00,4.333753e+00,1.622839e+09,1.427524e+08,1.953000e+11,-1.427524e+08
