case,mode,isp_s,delta_v_one_way_km_s,bemr,duration_years,npv_usd,max_npv_usd,bemr_at_max_npv,roots
chemical_at_paper_limit,chemical,450.0,1.8,10.0,1.0,-397278519.82257825,-396598253.8902308,0.0010000001266356707,
chemical_at_paper_limit,chemical,450.0,1.8,61.0,1.0,-400748223.04791677,-396598253.8902308,0.0010000001266356707,
chemical_at_paper_limit,chemical,450.0,1.8,80.0,1.0,-402040857.5828468,-396598253.8902308,0.0010000001266356707,
chemical_at_paper_limit,chemical,450.0,1.8,100.0,1.0,-403401525.5143521,-396598253.8902308,0.0010000001266356707,
chemical_at_paper_limit,chemical,450.0,1.8,0.0010000001266356707,1.0,-396598253.8902308,-396598253.8902308,0.0010000001266356707,
electric_at_paper_limit,electric,3000.0,4.5,10.0,0.28700749083734234,-326049813.26280516,-11842901.963263797,136.66550460055498,
electric_at_paper_limit,electric,3000.0,4.5,61.0,1.5213789545408574,-109669300.7788447,-11842901.963263797,136.66550460055498,
electric_at_paper_limit,electric,3000.0,4.5,80.0,1.9812428331755003,-64040623.22142304,-11842901.963263797,136.66550460055498,
electric_at_paper_limit,electric,3000.0,4.5,100.0,2.4653100738435456,-32591833.893148784,-11842901.963263797,136.66550460055498,
electric_at_paper_limit,electric,3000.0,4.5,136.66550460055498,3.3527385558281537,-11842901.963263797,-11842901.963263797,136.66550460055498,
electric_at_5_km_s,electric,3000.0,5.0,10.0,0.32952067081357383,-329643377.13332814,-90963215.04360813,111.22608916563148,
electric_at_5_km_s,electric,3000.0,5.0,61.0,1.748464709633437,-141336758.74925563,-90963215.04360813,111.22608916563148,
electric_at_5_km_s,electric,3000.0,5.0,80.0,2.2770909201741705,-109372261.41615619,-90963215.04360813,111.22608916563148,
electric_at_5_km_s,electric,3000.0,5.0,100.0,2.833539562848627,-93207943.90165329,-90963215.04360813,111.22608916563148,
electric_at_5_km_s,electric,3000.0,5.0,111.22608916563148,3.1458766667865294,-90963215.04360813,-90963215.04360813,111.22608916563148,
