scenario,mode,launch_cost_per_kg_usd,sale_price_per_kg_usd,capacity_kg,present_revenue_per_return_kg_usd,max_production_cost_for_break_even_usd_per_kg,required_capacity_at_paper_production_cost_kg,required_bemr_at_paper_production_cost
"Starship public price, 100 t LEO",chemical,900.0,810.0,150000.0,675.0,79710.272,557943.9407407407,446.3551525925926
"Starship public price, 100 t LEO",electric,900.0,810.0,150000.0,810.0,96300.0,464351.85185185185,371.48148148148147
"Starship public price, 100 t LEO",chemical,900.0,810.0,160000.0,675.0,85110.272,557943.9407407407,446.3551525925926
"Starship public price, 100 t LEO",electric,900.0,810.0,160000.0,810.0,102780.0,464351.85185185185,371.48148148148147
"Starship public price, 100 t LEO",chemical,900.0,810.0,500000.0,675.0,268710.272,557943.9407407407,446.3551525925926
"Starship public price, 100 t LEO",electric,900.0,810.0,500000.0,810.0,323100.0,464351.85185185185,371.48148148148147
"Starship public price, 100 t LEO",chemical,900.0,810.0,1000000.0,675.0,538710.272,557943.9407407407,446.3551525925926
"Starship public price, 100 t LEO",electric,900.0,810.0,1000000.0,810.0,647100.0,464351.85185185185,371.48148148148147
"Starship public price, 150 t LEO",chemical,600.0,540.0,150000.0,450.0,53010.272,836082.5777777778,668.8660622222222
"Starship public price, 150 t LEO",electric,600.0,540.0,150000.0,540.0,64200.0,695833.3333333334,556.6666666666667
"Starship public price, 150 t LEO",chemical,600.0,540.0,160000.0,450.0,56610.272,836082.5777777778,668.8660622222222
"Starship public price, 150 t LEO",electric,600.0,540.0,160000.0,540.0,68520.0,695833.3333333334,556.6666666666667
"Starship public price, 150 t LEO",chemical,600.0,540.0,500000.0,450.0,179010.272,836082.5777777778,668.8660622222222
"Starship public price, 150 t LEO",electric,600.0,540.0,500000.0,540.0,215400.0,695833.3333333334,556.6666666666667
"Starship public price, 150 t LEO",chemical,600.0,540.0,1000000.0,450.0,359010.272,836082.5777777778,668.8660622222222
"Starship public price, 150 t LEO",electric,600.0,540.0,1000000.0,540.0,431400.0,695833.3333333334,556.6666666666667
