grade_case,total_pgm_grade_ppm,all_pgm_priced_as,pure_metal_price_usd_per_kg,raw_bulk_value_usd_per_kg,pgm_kg_per_1000_t_bulk,gross_value_per_1000_t_bulk_usd
Ostro_1986_DA_assumption,10.0,Pt,65246.72508631684,0.6524672508631684,10.0,652467.2508631684
Ostro_1986_DA_assumption,10.0,Pd,46136.321325941,0.46136321325940993,10.0,461363.21325941
Ostro_1986_DA_assumption,10.0,Rh,320703.697021785,3.20703697021785,10.0,3207036.97021785
Cannon_iron_meteorite_low,6.0,Pt,65246.72508631684,0.39148035051790103,6.0,391480.350517901
Cannon_iron_meteorite_low,6.0,Pd,46136.321325941,0.27681792795564597,6.0,276817.92795564595
Cannon_iron_meteorite_low,6.0,Rh,320703.697021785,1.9242221821307102,6.0,1924222.1821307102
Cannon_iron_meteorite_median,40.78,Pt,65246.72508631684,2.6607614490200007,40.78,2660761.4490200006
Cannon_iron_meteorite_median,40.78,Pd,46136.321325941,1.8814391836718738,40.78,1881439.183671874
Cannon_iron_meteorite_median,40.78,Rh,320703.697021785,13.078296764548393,40.78,13078296.764548393
Cannon_iron_meteorite_90th_percentile,107.86,Pt,65246.72508631684,7.037511767810134,107.86,7037511.767810134
Cannon_iron_meteorite_90th_percentile,107.86,Pd,46136.321325941,4.976263618215996,107.86,4976263.618215996
Cannon_iron_meteorite_90th_percentile,107.86,Rh,320703.697021785,34.591100760769734,107.86,34591100.76076973
Cannon_iron_meteorite_high,230.0,Pt,65246.72508631684,15.006746769852871,230.0,15006746.769852873
Cannon_iron_meteorite_high,230.0,Pd,46136.321325941,10.611353904966428,230.0,10611353.904966429
Cannon_iron_meteorite_high,230.0,Rh,320703.697021785,73.76185031501055,230.0,73761850.31501055
