T_dust_K,M_dust_Msun
2.500000000000000000e+01,1.246633475571664423e+08
2.531328320802004939e+01,1.151618368982410133e+08
2.562656641604009877e+01,1.065897492138013244e+08
2.593984962406015171e+01,9.883911145876345038e+07
2.625313283208020110e+01,9.181628001583836973e+07
2.656641604010025048e+01,8.543982019021356106e+07
2.687969924812029987e+01,7.963872979435707629e+07
2.719298245614034926e+01,7.435094634984761477e+07
2.750626566416040220e+01,6.952208883498679101e+07
2.781954887218045158e+01,6.510439401992270350e+07
2.813283208020050097e+01,6.105581474131888896e+07
2.844611528822055035e+01,5.733925335371620208e+07
2.875939849624059974e+01,5.392190834889318794e+07
2.907268170426065268e+01,5.077471598797678947e+07
2.938596491228070207e+01,4.787187192463759333e+07
2.969924812030075145e+01,4.519042035398212820e+07
3.001253132832080084e+01,4.270990031353411078e+07
3.032581453634085022e+01,4.041204047951158136e+07
3.063909774436090316e+01,3.828049521479613334e+07
3.095238095238095255e+01,3.630061579155880958e+07
3.126566416040100194e+01,3.445925167715904862e+07
3.157894736842105132e+01,3.274457757343311608e+07
3.189223057644110071e+01,3.114594256648474559e+07
3.220551378446115365e+01,2.965373830058066919e+07
3.251879699248119948e+01,2.825928355520493165e+07
3.283208020050125242e+01,2.695472299457810447e+07
3.314536340852130536e+01,2.573293818693013117e+07
3.345864661654135119e+01,2.458746926710125431e+07
3.377192982456140413e+01,2.351244584931054339e+07
3.408521303258144997e+01,2.250252599430961162e+07
3.439849624060150290e+01,2.155284220250985026e+07
3.471177944862155584e+01,2.065895354689922184e+07
3.502506265664160168e+01,1.981680318067102507e+07
3.533834586466165462e+01,1.902268055781874433e+07
3.565162907268170045e+01,1.827318779329014942e+07
3.596491228070175339e+01,1.756520966495772451e+07
3.627819548872180633e+01,1.689588682459657639e+07
3.659147869674185216e+01,1.626259184088362008e+07
3.690476190476190510e+01,1.566290774551234022e+07
3.721804511278195093e+01,1.509460879500019178e+07
3.753132832080200387e+01,1.455564319661722146e+07
3.784461152882205681e+01,1.404411757790353149e+07
3.815789473684210265e+01,1.355828300615761615e+07
3.847117794486215558e+01,1.309652238765496947e+07
3.878446115288220142e+01,1.265733909669290483e+07
3.909774436090225436e+01,1.223934670227577537e+07
3.941102756892230730e+01,1.184125967571677081e+07
3.972431077694235313e+01,1.146188497594314255e+07
4.003759398496240607e+01,1.110011442111742683e+07
4.035087719298245190e+01,1.075491776555057056e+07
4.066416040100250484e+01,1.042533640997822583e+07
4.097744360902255778e+01,1.011047768126580492e+07
4.129072681704261072e+01,9.809509624642223120e+06
4.160401002506265655e+01,9.521656257761646062e+06
4.191729323308270239e+01,9.246193241362215951e+06
4.223057644110275533e+01,8.982443926123263314e+06
4.254385964912280826e+01,8.729775739596912637e+06
4.285714285714286120e+01,8.487596880875973031e+06
4.317042606516290704e+01,8.255353294016983360e+06
4.348370927318295287e+01,8.032525894217474386e+06
4.379699248120300581e+01,7.818628023395488039e+06
4.411027568922305875e+01,7.613203114176243544e+06
4.442355889724311169e+01,7.415822543390612118e+06
4.473684210526315752e+01,7.226083658062453382e+06
4.505012531328320335e+01,7.043607958533524536e+06
4.536340852130325629e+01,6.868039424868671224e+06
4.567669172932330923e+01,6.699042974020501599e+06
4.598997493734336217e+01,6.536303036429733969e+06
4.630325814536340800e+01,6.379522241810496897e+06
4.661654135338345384e+01,6.228420204832623713e+06
4.692982456140350678e+01,6.082732402278021909e+06
4.724310776942355972e+01,5.942209134025688283e+06
4.755639097744361266e+01,5.806614560919764452e+06
4.786967418546365849e+01,5.675725813205483370e+06
4.818295739348370432e+01,5.549332163786019199e+06
4.849624060150375726e+01,5.427234261066291481e+06
4.880952380952381020e+01,5.309243416612898931e+06
4.912280701754386314e+01,5.195180943278049119e+06
4.943609022556390897e+01,5.084877539814397693e+06
4.974937343358395481e+01,4.978172718350574374e+06
5.006265664160400775e+01,4.874914271408267319e+06
5.037593984962406068e+01,4.774957775423620827e+06
5.068922305764411362e+01,4.678166127991779707e+06
5.100250626566415946e+01,4.584409116285905242e+06
5.131578947368420529e+01,4.493563014313524589e+06
5.162907268170425823e+01,4.405510206865355372e+06
5.194235588972431117e+01,4.320138838187007234e+06
5.225563909774436411e+01,4.237342483563527465e+06
5.256892230576440994e+01,4.157019842152427882e+06
5.288220551378445577e+01,4.079074449533527251e+06
5.319548872180450871e+01,4.003414408565430902e+06
5.350877192982456165e+01,3.929952137249198742e+06
5.382205513784461459e+01,3.858604132401209790e+06
5.413533834586466043e+01,3.789290748030025512e+06
5.444862155388470626e+01,3.721935987396968994e+06
5.476190476190475920e+01,3.656467307818068191e+06
5.507518796992481214e+01,3.592815437336342875e+06
5.538847117794486508e+01,3.530914202458958607e+06
5.570175438596491091e+01,3.470700366213920992e+06
5.601503759398495674e+01,3.412113475836221594e+06
5.632832080200500968e+01,3.355095719444139395e+06
5.664160401002506262e+01,3.299591791113180108e+06
5.695488721804511556e+01,3.245548763798044529e+06
5.726817042606516139e+01,3.192915969592735171e+06
5.758145363408521433e+01,3.141644886855314020e+06
5.789473684210526017e+01,3.091689033757542726e+06
5.820802005012531311e+01,3.043003867850621231e+06
5.852130325814535894e+01,2.995546691266965121e+06
5.883458646616541188e+01,2.949276561204363126e+06
5.914786967418546482e+01,2.904154205363361165e+06
5.946115288220551065e+01,2.860141942031313200e+06
5.977443609022556359e+01,2.817203604527447373e+06
6.008771929824560942e+01,2.775304469742706511e+06
6.040100250626566236e+01,2.734411190525978804e+06
6.071428571428571530e+01,2.694491731685031671e+06
6.102756892230576113e+01,2.655515309385793284e+06
6.134085213032581407e+01,2.617452333747952711e+06
6.165413533834585991e+01,2.580274354448099155e+06
6.196741854636591285e+01,2.543954009153906256e+06
6.228070175438596578e+01,2.508464974624337163e+06
6.259398496240601162e+01,2.473781920321418438e+06
6.290726817042606456e+01,2.439880464389061555e+06
6.322055137844611039e+01,2.406737131863547489e+06
6.353383458646616333e+01,2.374329314988880884e+06
6.384711779448621627e+01,2.342635235518154223e+06
6.416040100250626210e+01,2.311633908889484126e+06
6.447368421052631504e+01,2.281305110171976965e+06
6.478696741854636798e+01,2.251629341683676466e+06
