n_e_cm3,R_Te15800,R_Te17300,R_Te18800
1.000000000000000000e+00,1.507581959106391867e-01,1.286951885572354681e-01,1.127241621076314482e-01
1.023292992280754099e+00,1.507476486988070519e-01,1.286864655284405690e-01,1.127167369628501031e-01
1.047128548050899610e+00,1.507368571912477140e-01,1.286775404196924266e-01,1.127091397782555987e-01
1.071519305237606412e+00,1.507258157623640460e-01,1.286684085758312834e-01,1.127013665894313066e-01
1.096478196143185091e+00,1.507145186585550356e-01,1.286590652356945919e-01,1.126934133416276212e-01
1.122018454301963342e+00,1.507029599953764176e-01,1.286495055297621204e-01,1.126852758877513599e-01
1.148153621496882826e+00,1.506911337546405494e-01,1.286397244777500726e-01,1.126769499863130991e-01
1.174897554939529520e+00,1.506790337814564729e-01,1.286297169861557177e-01,1.126684312993309345e-01
1.202264434617412947e+00,1.506666537812079432e-01,1.286194778457495358e-01,1.126597153901910953e-01
1.230268770812381618e+00,1.506539873164681187e-01,1.286090017290165977e-01,1.126507977214623035e-01
1.258925411794167282e+00,1.506410278038511352e-01,1.285982831875428223e-01,1.126416736526655998e-01
1.288249551693134043e+00,1.506277685107978437e-01,1.285873166493482211e-01,1.126323384379973452e-01
1.318256738556407015e+00,1.506142025522958228e-01,1.285760964161644371e-01,1.126227872240044559e-01
1.348962882591653534e+00,1.506003228875311684e-01,1.285646166606562169e-01,1.126130150472123975e-01
1.380384264602884770e+00,1.505861223164731422e-01,1.285528714235856518e-01,1.126030168317030955e-01
1.412537544622754382e+00,1.505715934763875996e-01,1.285408546109182149e-01,1.125927873866437584e-01
1.445439770745927444e+00,1.505567288382801960e-01,1.285285599908698728e-01,1.125823214037649511e-01
1.479108388168207444e+00,1.505415207032675673e-01,1.285159811908938299e-01,1.125716134547863900e-01
1.513561248436208206e+00,1.505259611988756796e-01,1.285031116946060703e-01,1.125606579887908631e-01
1.548816618912481458e+00,1.505100422752619627e-01,1.284899448386490339e-01,1.125494493295450260e-01
1.584893192461113598e+00,1.504937557013643346e-01,1.284764738094920089e-01,1.125379816727651583e-01
