n_e_cm3,R_Te8000,R_Te15000,R_Te25000
1.000000000000000000e+00,9.539707514815812806e-01,1.662680575118555548e-01,7.762453241417972827e-02
1.122018454301963342e+00,9.535213868650599389e-01,1.662060399276509282e-01,7.760023167919942455e-02
1.258925411794167282e+00,9.530176478539790219e-01,1.661365048174652248e-01,7.757298212202635990e-02
1.412537544622754382e+00,9.524530171252769684e-01,1.660585477195759829e-01,7.754242813737573237e-02
1.584893192461113598e+00,9.518202121760074297e-01,1.659711571007211062e-01,7.750817181057939598e-02
1.778279410038922759e+00,9.511110996030117670e-01,1.658732021313792659e-01,7.746976803173859227e-02
1.995262314968879735e+00,9.503166008474854820e-01,1.657634191821083791e-01,7.742671908403263303e-02
2.238721138568339875e+00,9.494265888388935259e-01,1.656403969380143837e-01,7.737846865969190413e-02
2.511886431509580131e+00,9.484297750179123687e-01,1.655025600288329568e-01,7.732439525582812667e-02
2.818382931264453717e+00,9.473135862948838248e-01,1.653481510756128203e-01,7.726380490187917394e-02
3.162277660168379523e+00,9.460640316177537645e-01,1.651752110626296954e-01,7.719592317121518055e-02
3.548133892335755046e+00,9.446655579929795765e-01,1.649815579562329826e-01,7.711988643189365833e-02
3.981071705534973137e+00,9.431008960376964234e-01,1.647647635124180887e-01,7.703473229618579277e-02
4.466835921509631824e+00,9.413508954576478294e-01,1.645221282439595090e-01,7.693938923598613033e-02
5.011872336272723771e+00,9.393943512615624547e-01,1.642506545582667898e-01,7.683266534238152035e-02
5.623413251903491172e+00,9.372078220603110577e-01,1.639470181314878761e-01,7.671323622347109294e-02
6.309573444801933384e+00,9.347654424823935715e-01,1.636075376560260919e-01,7.657963205618296965e-02
7.079457843841380438e+00,9.320387325924671673e-01,1.632281431912743774e-01,7.643022383671066455e-02
7.943282347242815788e+00,9.289964082545637547e-01,1.628043434651911814e-01,7.626320891191511187e-02
8.912509381337455849e+00,9.256041976640814184e-01,1.623311926219442036e-01,7.607659592244260527e-02
1.000000000000000000e+01,9.218246708079914642e-01,1.618032570930760250e-01,7.586818934946132353e-02
1.122018454301963608e+01,9.176170904205356305e-01,1.612145834913668585e-01,7.563557393302156040e-02
1.258925411794167459e+01,9.129372950909964146e-01,1.605586686922640949e-01,7.537609932340813557e-02
1.412537544622754737e+01,9.077376275424889895e-01,1.598284335809093126e-01,7.508686543969547711e-02
1.584893192461114175e+01,9.019669237020923047e-01,1.590162023051491791e-01,7.476470914398304635e-02
1.778279410038922848e+01,8.955705809521479210e-01,1.581136892851968678e-01,7.440619299680623078e-02
1.995262314968879735e+01,8.884907267701873668e-01,1.571119966831888703e-01,7.400759703925345601e-02
2.238721138568340052e+01,8.806665116468188614e-01,1.560016255188116097e-01,7.356491474897618177e-02
2.511886431509580930e+01,8.720345524550218164e-01,1.547725041100310728e-01,7.307385453672401998e-02
2.818382931264455138e+01,8.625295539771036246e-01,1.534140379893527972e-01,7.252984838005945012e-02
3.162277660168379256e+01,8.520851366246293690e-01,1.519151858510096598e-01,7.192806941980497970e-02
3.548133892335754780e+01,8.406348969613276489e-01,1.502645663622139138e-01,7.126346055516391553e-02
3.981071705534973404e+01,8.281137238283760027e-01,1.484506007440005992e-01,7.053077624107957633e-02
4.466835921509632357e+01,8.144593860032198762e-01,1.464616957989118562e-01,6.972463978420158359e-02
5.011872336272725192e+01,7.996143967526554430e-01,1.442864714241028357e-01,6.883961841150573746e-02
5.623413251903490817e+01,7.835281458551585088e-01,1.419140354818977934e-01,6.787031820020600348e-02
6.309573444801932851e+01,7.661592704242954355e-01,1.393343070918149074e-01,6.681150055544396449e-02
7.079457843841380793e+01,7.474782123618191054e-01,1.365383868667396638e-01,6.565822124812860372e-02
7.943282347242816854e+01,7.274698833225538008e-01,1.335189692951078977e-01,6.440599202912770938e-02
8.912509381337459047e+01,7.061363292784554879e-01,1.302707883995211646e-01,6.305096348244107474e-02
1.000000000000000000e+02,6.834992585916872532e-01,1.267910831155054097e-01,6.159012606092799380e-02
1.122018454301964141e+02,6.596022732515544051e-01,1.230800638022489374e-01,6.002152419721128174e-02
1.258925411794167530e+02,6.345126265354350537e-01,1.191413563421575283e-01,5.834447608935275364e-02
1.412537544622753956e+02,6.083223259695333951e-01,1.149823959782065169e-01,5.655978938336292394e-02
1.584893192461114211e+02,5.811484118250865860e-01,1.106147400617867316e-01,5.466996074229114183e-02
1.778279410038922776e+02,5.531322710324674263e-01,1.060542679664927268e-01,5.267934549898584118e-02
1.995262314968880730e+02,5.244378948925021433e-01,1.013212382276204165e-01,5.059428257244689281e-02
2.238721138568340052e+02,4.952490542750198621e-01,9.644017795616377509e-02,4.842315992202445019e-02
2.511886431509582280e+02,4.657654432371675091e-01,9.143958787455702675e-02,4.617640729865259142e-02
2.818382931264454783e+02,4.361979237266528919e-01,8.635145760424971229e-02,4.386640608433890753e-02
3.162277660168379612e+02,4.067630811291395587e-01,8.121059927908380605e-02,4.150731056233681465e-02
3.548133892335756627e+02,3.776773634195367824e-01,7.605382188520891373e-02,3.911478077693249927e-02
3.981071705534973262e+02,3.491511173979919835e-01,7.091898235114321714e-02,3.670563373830101200e-02
4.466835921509634773e+02,3.213828484924413087e-01,6.584396066878804576e-02,3.429742642905672656e-02
5.011872336272724624e+02,2.945540141940147238e-01,6.086561375924374323e-02,3.190799009755925647e-02
5.623413251903490391e+02,2.688246176789829689e-01,5.601876541269325271e-02,2.955493992125298244e-02
6.309573444801936830e+02,2.443298033822241533e-01,5.133528708313483263e-02,2.725518668493241009e-02
7.079457843841380509e+02,2.211775783922158567e-01,4.684331696430356351e-02,2.502447729878134672e-02
7.943282347242821970e+02,1.994477015713992940e-01,4.256665359418494027e-02,2.287698875787816735e-02
8.912509381337458763e+02,1.791917047152598863e-01,3.852434664219053090e-02,2.082499581969429400e-02
1.000000000000000000e+03,1.604339435896705024e-01,3.473049310721858934e-02,1.887862680977383384e-02
1.122018454301964084e+03,1.431735257531263350e-01,3.119423339424117619e-02,1.704571527184439370e-02
1.258925411794167530e+03,1.273869286917614640e-01,2.791992985475352448e-02,1.533174839982014669e-02
1.412537544622755377e+03,1.130311058801452689e-01,2.490750118658905179e-02,1.373990698601296363e-02
1.584893192461114040e+03,1.000468782639313964e-01,2.215287998285635218e-02,1.227118649249542975e-02
1.778279410038922833e+03,8.836242167548034876e-02,1.964855771469098400e-02,1.092458510498605512e-02
1.995262314968880901e+03,7.789668367628338475e-02,1.738418125810628143e-02,9.697342372158027773e-03
2.238721138568339939e+03,6.856259298442689276e-02,1.534716727389110608e-02,8.585211217303150011e-03
2.511886431509582053e+03,6.026995784114856647e-02,1.352330476459011506e-02,7.582746565149825826e-03
2.818382931264454783e+03,5.292798355492978751e-02,1.189732137679382767e-02,6.683595312189086722e-03
3.162277660168379498e+03,4.644737162132988456e-02,1.045339492080559103e-02,5.880774606453109156e-03
3.548133892335756627e+03,4.074199135994421156e-02,9.175597625589919024e-03,5.166928108262679523e-03
3.981071705534973262e+03,3.573013862728644657e-02,8.048266393680208325e-03,4.534552807906854117e-03
4.466835921509635227e+03,3.133541415061826679e-02,7.056297422511731768e-03,3.976191841237022330e-03
5.011872336272725079e+03,2.748726625091229767e-02,6.185367776742560671e-03,3.484591374217927470e-03
5.623413251903491073e+03,2.412124954279614569e-02,5.422089702827536349e-03,3.052821878216998089e-03
6.309573444801936603e+03,2.117905334337082807e-02,4.754105649661578663e-03,2.674365900194161996e-03
7.079457843841380964e+03,1.860835194230385514e-02,4.170133163980285426e-03,2.343175711385790411e-03
7.943282347242821743e+03,1.636252461678658343e-02,3.659969199082941001e-03,2.053705008384359033e-03
