T_e_K,single_zone_ceiling_R
5.000000000000000000e+03,8.226681826208986692e+00
5.100000000000000000e+03,7.338038940401752086e+00
5.200000000000000000e+03,6.573661558381904690e+00
5.300000000000000000e+03,5.913366997228082234e+00
5.400000000000000000e+03,5.340265157356943071e+00
5.500000000000000000e+03,4.840596443665064363e+00
5.600000000000000000e+03,4.403085979725325672e+00
5.700000000000000000e+03,4.018443502378476140e+00
5.800000000000000000e+03,3.678973457418611925e+00
5.900000000000000000e+03,3.378269054594114529e+00
6.000000000000000000e+03,3.110970726224394856e+00
6.100000000000000000e+03,2.872574311301439476e+00
6.200000000000000000e+03,2.659277872053146030e+00
6.300000000000000000e+03,2.467858704113121693e+00
6.400000000000000000e+03,2.294820288707804856e+00
6.500000000000000000e+03,2.138616935113945239e+00
6.600000000000000000e+03,1.997305948195016834e+00
6.700000000000000000e+03,1.869141385215496332e+00
6.800000000000000000e+03,1.752616066821626628e+00
6.900000000000000000e+03,1.646424653981600317e+00
7.000000000000000000e+03,1.549433049395043893e+00
7.100000000000000000e+03,1.460652941207536193e+00
7.200000000000000000e+03,1.379220545299973510e+00
7.300000000000000000e+03,1.304378789421239304e+00
7.400000000000000000e+03,1.235462329779234647e+00
7.500000000000000000e+03,1.171884907333356818e+00
7.600000000000000000e+03,1.113128643748479085e+00
7.700000000000000000e+03,1.058734950989761447e+00
7.800000000000000000e+03,1.008296787871009403e+00
7.900000000000000000e+03,9.614520446182086566e-01
8.000000000000000000e+03,9.178110545969638823e-01
8.100000000000000000e+03,8.771110139295311692e-01
8.200000000000000000e+03,8.391461927181638192e-01
8.300000000000000000e+03,8.036836848414796730e-01
8.400000000000000000e+03,7.705141729407442019e-01
8.500000000000000000e+03,7.394491875085393850e-01
8.600000000000000000e+03,7.103187228217003879e-01
8.700000000000000000e+03,6.829691585318390379e-01
8.800000000000000000e+03,6.572614437151476086e-01
8.900000000000000000e+03,6.330695068283525018e-01
9.000000000000000000e+03,6.102788605612310402e-01
9.100000000000000000e+03,5.887853752131220197e-01
9.200000000000000000e+03,5.684941981100860575e-01
9.300000000000000000e+03,5.493187998496866786e-01
9.400000000000000000e+03,5.311801309173010965e-01
9.500000000000000000e+03,5.140058745476463464e-01
9.600000000000000000e+03,4.977297836787363816e-01
9.700000000000000000e+03,4.822910915211077176e-01
9.800000000000000000e+03,4.676339866910914633e-01
9.900000000000000000e+03,4.537071450730112976e-01
1.000000000000000000e+04,4.404633116145742489e-01
1.010000000000000000e+04,4.278467529611757469e-01
1.020000000000000000e+04,4.158302852297867114e-01
1.030000000000000000e+04,4.043767018573686811e-01
1.040000000000000000e+04,3.934515901977214680e-01
1.050000000000000000e+04,3.830230876234886894e-01
1.060000000000000000e+04,3.730616617338248786e-01
1.070000000000000000e+04,3.635399120200186185e-01
1.080000000000000000e+04,3.544323906601245522e-01
1.090000000000000000e+04,3.457154403907822804e-01
1.100000000000000000e+04,3.373670476457780176e-01
1.110000000000000000e+04,3.293667093614621733e-01
1.120000000000000000e+04,3.216953120331259575e-01
1.130000000000000000e+04,3.143350217674566460e-01
1.140000000000000000e+04,3.072691842173271293e-01
1.150000000000000000e+04,3.004822334090749281e-01
1.160000000000000000e+04,2.939596085813462323e-01
1.170000000000000000e+04,2.876876782504871333e-01
1.180000000000000000e+04,2.816536708020099811e-01
1.190000000000000000e+04,2.758456109823197444e-01
1.200000000000000000e+04,2.702522617308915631e-01
1.210000000000000000e+04,2.648630708515107846e-01
1.220000000000000000e+04,2.596681220729939454e-01
1.230000000000000000e+04,2.546580900957769455e-01
1.240000000000000000e+04,2.498241992616181129e-01
1.250000000000000000e+04,2.451581855200124227e-01
1.260000000000000000e+04,2.406526621689400736e-01
1.270000000000000000e+04,2.363031052440946744e-01
1.280000000000000000e+04,2.320991775550249603e-01
1.290000000000000000e+04,2.280343480971694370e-01
1.300000000000000000e+04,2.241024467187129610e-01
1.310000000000000000e+04,2.202976406542053456e-01
1.320000000000000000e+04,2.166144128026840088e-01
1.330000000000000000e+04,2.130475416050291448e-01
1.340000000000000000e+04,2.095920823886232853e-01
1.350000000000000000e+04,2.062433500594061664e-01
1.360000000000000000e+04,2.029969030322298640e-01
1.370000000000000000e+04,1.998485283001721902e-01
1.380000000000000000e+04,1.967942275522718276e-01
1.390000000000000000e+04,1.938302042570919093e-01
1.400000000000000000e+04,1.909528516367184348e-01
1.410000000000000000e+04,1.881587414622910293e-01
1.420000000000000000e+04,1.854446136080665775e-01
1.430000000000000000e+04,1.828073663063542187e-01
1.440000000000000000e+04,1.802440470505033143e-01
1.450000000000000000e+04,1.777518440975364988e-01
1.460000000000000000e+04,1.753280785260080132e-01
1.470000000000000000e+04,1.729701968083221519e-01
1.480000000000000000e+04,1.706757638600444604e-01
1.490000000000000000e+04,1.684424565317695910e-01
1.500000000000000000e+04,1.662680575118555548e-01
1.510000000000000000e+04,1.641504496108476263e-01
1.520000000000000000e+04,1.620876104007124840e-01
1.530000000000000000e+04,1.600776071840941117e-01
1.540000000000000000e+04,1.581185922707280256e-01
1.550000000000000000e+04,1.562087985398993850e-01
1.560000000000000000e+04,1.543465352694431969e-01
1.570000000000000000e+04,1.525301842132555930e-01
1.580000000000000000e+04,1.507581959106391867e-01
1.590000000000000000e+04,1.490322294519468016e-01
1.600000000000000000e+04,1.473505793742912462e-01
1.610000000000000000e+04,1.457088282284485503e-01
1.620000000000000000e+04,1.441056765373692206e-01
1.630000000000000000e+04,1.425398777773656811e-01
1.640000000000000000e+04,1.410102358100620012e-01
1.650000000000000000e+04,1.395156024579468357e-01
1.660000000000000000e+04,1.380548752144736269e-01
1.670000000000000000e+04,1.366269950802810329e-01
1.680000000000000000e+04,1.352309445176961000e-01
1.690000000000000000e+04,1.338657455162208521e-01
1.700000000000000000e+04,1.325304577622058444e-01
1.710000000000000000e+04,1.312241769063729746e-01
1.720000000000000000e+04,1.299460329232833278e-01
1.730000000000000000e+04,1.286951885572354681e-01
1.740000000000000000e+04,1.274708378494522065e-01
1.750000000000000000e+04,1.262722047417524363e-01
1.760000000000000000e+04,1.250985417522172127e-01
1.770000000000000000e+04,1.239491287186571949e-01
1.780000000000000000e+04,1.228232716059569074e-01
1.790000000000000000e+04,1.217203013736242179e-01
1.800000000000000000e+04,1.206395729001088213e-01
1.810000000000000000e+04,1.195804639606724007e-01
1.820000000000000000e+04,1.185423742557927818e-01
1.830000000000000000e+04,1.175247244872786867e-01
1.840000000000000000e+04,1.165269554794415713e-01
1.850000000000000000e+04,1.155485273428400045e-01
1.860000000000000000e+04,1.145889186782618197e-01
1.870000000000000000e+04,1.136476258187525540e-01
1.880000000000000000e+04,1.127241621076314482e-01
1.890000000000000000e+04,1.118180572105606091e-01
1.900000000000000000e+04,1.109288564598489291e-01
1.910000000000000000e+04,1.100561202292791863e-01
1.920000000000000000e+04,1.091994233378495022e-01
1.930000000000000000e+04,1.083583544809145205e-01
1.940000000000000000e+04,1.075325156872986021e-01
